Name,Country,Year,Revenue,Profit ,Day pass,Week pass,Month pass
UMA Workspace,Finland,,,,20,199,
Teho-osasto,Finland,2017,18000,-13000,25,60,199
Y_North,Finland,2013,1327000,-68000,,,248
Village Works,Finland,2008,1200000,-34000,20,,150
NJETWORKING,Finland,2011,83000,-5000,15,,99
Wonderland Work,Finland,2018,47000,0,15,,219
Coworking Myyr York,Finland,,,,10,,90
Technopolis Oyj,Finland,2019,56300000,7800,,,
Helsinki Think Company,Finland,2015,1200000,79000,,,
Kenno Lounge,Finland,2012,680000,78000,,,600
MOW Mothership of Work,Finland,2011,1041000,-10000,25,,330
CoSpace Porvoo,Finland,2003,574000,-44000,20,96,289
Urban Mill,Finland,1993,102000,14000,,,150
DOOROOM,Finland,2016,114000,10000,25,,135
Werstas Turku,Finland,2010,27500000,0,,,190
Mesta Coworking,Finland,1996,24000,-1000,16,65,150
Luovasti,Finland,,,,15,,150
HUB Kukkiatalo,Finland,,,,10,,30
Regus,Finland,1995,2600000,0,,,
Innovation House,Finland,2015,1100000,67000,,,200
Lakeview Office,Germany ,2018,,,25,150,500
Regus Berlin P1,Germany ,1995,,,,141,
grow.inc SPACES,Germany ,,,,,,540
Tink Tank Space,Germany ,,,,35,,330
juggleHUB Coworking,Germany ,,,,,,
Design Offices Arnulfpark,Germany ,,,,,,350
Everyworks,Germany ,,,,,,
K-1 BusinessClub Ostend,Germany ,,,,,,
Tuesday coworking,Germany ,,,,,,85
BASE Co-Working,Germany ,,,,20,,200
Impact Hub Ruhr,Germany ,,,,15,,90
Betahaus Hamburg,Germany ,,,,17,,99
Weserland,Germany ,,,,18,,160
HeartSpace Coworking & Coffee,Germany ,,,,9,52,85
THE 9TH,Germany ,,,,15,,120
CoWomen,Germany ,,,,22,,249
Werk1,Germany ,,,,20,,190
b+office,Germany ,,,,17,,195
2Redline,Germany ,,,,25,125,450
skalitzer33,Germany ,,,,15,70,196
CoWork-Lab,Germany ,,,,21,,249
Basislager Coworking,Germany ,,,,20,,190
Zammwerk,Germany ,,,,12,,150
Plug and Play Munich,Germany ,,,,,,300
Techspace - Kreuzberg,Germany ,,,,,,429
Places,Germany ,,,,,,300
Thinkfarm Eberswalde,Germany ,,,,,,90
Come'N'Work,France,,,,30,,250
Newton Offices ,France,,,,,,179
COSY CORNER,France,,,,24,,360
Deskopolitan,France,,,,,,600
KO WORKING,France,,,,25,,300
Paradigm,France,,,,35,115,350
Patchwork IENA,France,,,,50,,650
Espace Esperluette,France,,,,,,160
Startup Marseille,France,,,,15,,150
Le Pele coworking,France,,,,30,,225
HarryCow,France,,,,25,,300
L'Archipel Toulon,France,,,,,,
Le 400,France,,,,9,,120
Morpho,France,,,,15,75,200
Le Bureau 68,France,,,,18,,250
Work in Paris cardinet,France,,,,,,290
La Cordee Coworking,France,,,,29,145,249
Globe Worker,France,,,,20,110,225
Digital Village Paris,France,,,,,,350
Living Lab,France,,,,20,90,360
Wetail,France,,,,25,90,290
La Ruche Denfert,France,,,,,,170
Group Union Coworking,France,,,,,,
Smack Coworking,France,,,,30,,
Le Loft Coworkinrennes,France,,,,24,,115
WOMA fabrique de quartier,France,,,,20,,360
